product_name;product_type;sales_volume;price;sale_time;date;platform;brand;reviews;rating
Secured maximized paradigm;S?n ph?m b?o v? môi tr??ng;366;466,57;Tháng 5;07/06/2022;Lazada;Dior;701;2,8
Upgradable actuating Graphical User Interface;S?n ph?m d??ng ?m;1021;287,36;Tháng 10;23/03/2024;Shopee;Dr. Jart+;623;2,2
Proactive needs-based functionalities;Gel lô h?i;4153;182,78;Tháng 1;09/06/2022;Shopee;Shu Uemura;73;1,9
Fully-configurable empowering archive;B? s?n ph?m ch?m sóc da;3657;74,16;Tháng 6;27/10/2023;Lazada;The Inkey List;4;1,4
Profound grid-enabled synergy;S?n ph?m làm m?m da;1312;223,09;Tháng 1;07/02/2024;Shopee;Laneige;772;1,3
Object-based multi-state framework;Kem m?t;2963;309,37;Tháng 3;11/12/2021;Shopee;Neutrogena;749;1,6
Cross-group well-modulated model;M? ph?m Nh?t B?n;2588;195,72;Tháng 8;29/07/2024;Lazada;Axe;757;1
Horizontal 24hour capacity;?? dùng tr? em;1660;151,66;Tháng 12;27/01/2023;Lazada;P&G;101;1,8
Triple-buffered dedicated frame;Gel lô h?i;1502;22,4;Tháng 10;28/03/2023;Shopee;Dior;116;4,8
Enhanced mission-critical database;Thi?t b? v?n phòng;2226;55,16;Tháng 5;29/02/2024;Lazada;Garnier;192;1,4
Extended intangible Graphic Interface;S?n ph?m ch?m sóc da m?t;1313;106,53;Tháng 11;08/07/2022;Lazada;Hada Labo;714;4,4
Advanced holistic projection;S?n ph?m công ngh?;3392;25,37;Tháng 4;05/11/2022;Shopee;Almay;223;1,5
Business-focused didactic architecture;Thi?t b? gia ?ình;2763;360,71;Tháng 1;19/11/2023;Shopee;Coca-Cola;202;2,8
Extended heuristic product;Thi?t b? v?n phòng;1644;230,47;Tháng 2;05/03/2022;Lazada;Zara;286;2,9
Re-engineered hybrid knowledgebase;?? ch?i;1675;276,22;Tháng 2;25/06/2022;Shopee;Olay Regenerist;155;4,7
Progressive value-added data-warehouse;S?n ph?m làm s?ch sâu;410;115,11;Tháng 11;10/01/2022;Shopee;SNAILWHITE;517;3,8
Triple-buffered optimal contingency;M? ph?m Nh?t B?n;4871;344,17;Tháng 11;06/06/2023;Lazada;Kiehl's;31;1,1
Cross-group static intranet;S?n ph?m d??ng tóc;94;326,27;Tháng 12;04/03/2024;Shopee;Too Faced;802;4,6
Devolved human-resource challenge;Thi?t b? gia ?ình;2314;147,92;Tháng 8;10/07/2023;Lazada;Muji;556;2,3
Face-to-face exuding toolset;Thi?t b? ?i?n t?;1055;375,65;Tháng 4;13/11/2022;Lazada;Mason Jar;995;2,5
Decentralized motivating utilization;B?t ?n d?m;1808;351,24;Tháng 2;14/09/2023;Lazada;Shu Uemura;919;1,4
Exclusive didactic adapter;Mì ?n li?n;7;121,93;Tháng 8;17/06/2023;Shopee;Dove Men+Care;451;1,9
Reactive directional projection;S?n ph?m ch?m sóc thú c?ng;327;489,75;Tháng 5;22/10/2022;Lazada;Huda Beauty;639;4,7
Pre-emptive logistical monitoring;Kem ch?ng n?ng v?t lý;4826;484,16;Tháng 7;01/01/2023;Shopee;Yves Rocher;332;4,8
Cross-platform grid-enabled approach;Máy s?y tóc;1776;115,89;Tháng 12;02/12/2023;Shopee;SK-II;189;3,8
Vision-oriented high-level process improvement;S?n ph?m gi?m thâm;1209;181,49;Tháng 1;09/08/2022;Lazada;Axe;303;3,5
Distributed high-level architecture;N??c t?y trang;3920;41,98;Tháng 9;27/10/2024;Shopee;Fanta;475;4,3
Polarized optimizing adapter;Giày dép;2052;297,93;Tháng 12;10/11/2021;Shopee;Tatcha;663;4,5
Triple-buffered systematic methodology;?i?n tho?i thông minh;4039;398,75;Tháng 11;19/02/2022;Shopee;Pond's;876;1,7
Expanded maximized parallelism;Túi xách;1572;65,8;Tháng 3;05/12/2022;Shopee;Maybelline;244;2,9
Virtual value-added forecast;Bánh k?o;865;220,44;Tháng 5;30/06/2024;Shopee;Neutrogena;46;4,5
Multi-layered didactic infrastructure;Gel lô h?i;503;264,82;Tháng 9;25/01/2022;Lazada;TRESemmé;538;3,4
Multi-layered regional approach;Máy s?y tóc;3328;333,98;Tháng 3;25/05/2022;Lazada;Apple;441;2,2
Diverse neutral superstructure;S?n ph?m ch?m sóc da m?t;698;138,9;Tháng 8;28/12/2021;Lazada;Glade;917;1,8
Synchronized hybrid contingency;Gel lô h?i;2510;221,06;Tháng 4;23/11/2023;Lazada;Burt's Bees;708;3,9
Monitored tangible migration;?? g?;3561;144,78;Tháng 10;13/07/2022;Lazada;Coca-Cola;445;2,4
Front-line bandwidth-monitored firmware;Serum retinol;3363;280,31;Tháng 6;01/10/2024;Lazada;Nike;192;3,9
Implemented tangible hierarchy;D?u g?i;15;57,19;Tháng 9;30/05/2024;Shopee;Colgate;653;3,7
Polarized zero administration algorithm;?? trang trí;2638;17,8;Tháng 5;20/07/2022;Shopee;O.P.I.;154;3,1
Expanded dynamic standardization;Bánh ng?t;677;474,7;Tháng 1;01/08/2024;Lazada;Smashbox;991;1,6
Automated impactful help-desk;Máy s?y tóc;3767;452,23;Tháng 2;06/10/2022;Shopee;Kraft;848;4,3
User-friendly zero-defect analyzer;D?u t?y trang;1846;225,95;Tháng 1;01/11/2023;Shopee;Chanel;596;3,5
Quality-focused static hub;Sách;4458;278,99;Tháng 8;01/09/2022;Shopee;Mason Jar;348;2,7
Visionary 6thgeneration emulation;Giày dép;1861;134,67;Tháng 10;24/01/2023;Lazada;Althea;46;1,6
Configurable hybrid workforce;S?n ph?m làm s?ch;1087;34,33;Tháng 7;31/01/2024;Lazada;Hada Labo;34;2,2
Reverse-engineered multimedia paradigm;M? ph?m Hàn Qu?c;3956;440,72;Tháng 9;19/09/2024;Lazada;Axe;833;1,4
Face-to-face heuristic complexity;S?n ph?m công ngh?;1915;264,49;Tháng 9;21/04/2022;Shopee;Missha;163;3,1
Reverse-engineered demand-driven task-force;Gel t?m;1842;214,12;Tháng 6;12/07/2024;Shopee;Essie;214;1
Decentralized fresh-thinking toolset;Th?c ph?m ch?c n?ng;2991;110,26;Tháng 7;14/01/2022;Shopee;SK-II;769;4
Synchronized high-level product;Son bóng;3829;58,93;Tháng 4;08/06/2023;Shopee;Kiehl's;877;1,9
Secured zero tolerance framework;Máy ?nh;4846;93,9;Tháng 6;13/09/2024;Lazada;Fanta;899;3,9
Self-enabling methodical productivity;Kem m?t;4123;402;Tháng 12;26/05/2022;Shopee;Paula's Choice;676;1,9
Expanded encompassing neural-net;M? ph?m Hàn Qu?c;2806;288,53;Tháng 9;13/11/2021;Shopee;Glade;121;2,6
Organized interactive process improvement;?? handmade;438;459,81;Tháng 7;01/04/2023;Shopee;Adidas;841;2
Adaptive 24hour projection;N?i th?t;3368;49,79;Tháng 10;28/11/2021;Shopee;Colgate;18;1,8
Focused human-resource focus group;M? ph?m;2072;207,42;Tháng 1;08/04/2022;Lazada;Axe;713;4,6
Enhanced executive paradigm;Th?c ph?m;440;312,25;Tháng 4;30/01/2023;Lazada;Althea;174;4,6
Synergized disintermediate Internet solution;N??c t?y trang;2892;73,61;Tháng 4;30/05/2024;Shopee;Wella;683;3
Exclusive disintermediate service-desk;S?n ph?m du l?ch;537;349,3;Tháng 10;31/08/2024;Shopee;LG;667;2,6
Phased eco-centric neural-net;?? dùng h?c t?p;4336;128,08;Tháng 5;10/03/2024;Shopee;Axe;64;4,5
Focused fault-tolerant orchestration;?? gia d?ng;3390;74,72;Tháng 2;10/10/2022;Shopee;Estée Lauder;765;4,8
Enterprise-wide heuristic help-desk;Th?c ph?m ch?c n?ng;2490;344,93;Tháng 11;07/10/2023;Lazada;Neutrogena;870;4,8
User-friendly disintermediate database;M? ph?m châu Âu;1728;62,81;Tháng 6;08/09/2022;Shopee;Apple;279;4,1
Operative 5thgeneration website;?? g?;4347;402,29;Tháng 5;04/01/2023;Shopee;Make Up For Ever;788;1,6
Organic multimedia monitoring;N??c hoa;3747;351,78;Tháng 9;15/02/2022;Shopee;P&G;627;1,7
Triple-buffered incremental superstructure;D?u x?;795;131,11;Tháng 1;08/05/2022;Lazada;Tony Moly;777;4,9
Customer-focused user-facing capacity;N??c hoa nam;1072;459,66;Tháng 3;31/08/2024;Lazada;Aveeno;902;2
Reactive well-modulated hub;?? ch?i;654;122,53;Tháng 9;17/10/2024;Lazada;Coca-Cola;805;4,1
Organic asymmetric Local Area Network;S?a t?m;1370;367,18;Tháng 3;01/09/2022;Shopee;Sony;373;2,3
Expanded bandwidth-monitored utilization;?? handmade;627;480,31;Tháng 6;04/02/2024;Lazada;Laneige;6;2,8
Object-based impactful utilization;V?n phòng ph?m;4844;486,34;Tháng 9;15/12/2023;Shopee;Lancôme;599;4,5
Assimilated uniform open architecture;S?n ph?m gi?m thâm;1572;377,69;Tháng 1;14/09/2022;Shopee;Adidas;564;3,7
Intuitive even-keeled artificial intelligence;Th?i trang;3239;287,28;Tháng 10;24/11/2023;Shopee;Shu Uemura;336;1,2
Digitized systematic policy;Thi?t b? gia ?ình;740;296,85;Tháng 5;04/10/2023;Shopee;Bobbi Brown;797;4
Horizontal multi-state database;S?n ph?m ch?m sóc thú c?ng;293;346,23;Tháng 12;16/02/2022;Lazada;Laneige;803;2
Persistent mission-critical productivity;Sách;557;454,11;Tháng 1;06/08/2024;Lazada;Vichy;608;1,3
Multi-tiered bifurcated functionalities;?i?n t?;1444;63,25;Tháng 5;30/08/2023;Shopee;Axe;121;2,1
Centralized bottom-line archive;Kem ch?ng n?ng hóa h?c;2977;132;Tháng 1;26/04/2023;Lazada;Shiseido;979;4,4
Stand-alone discrete migration;V?n phòng ph?m;1195;284,08;Tháng 4;14/10/2023;Shopee;Anastasia Beverly Hills;520;1,3
Right-sized well-modulated focus group;B? s?n ph?m ch?m sóc da;2725;38,84;Tháng 9;28/09/2023;Shopee;Cosrx;282;1,7
Monitored 5thgeneration strategy;S?n ph?m d??ng tóc;1914;227,4;Tháng 12;25/12/2022;Lazada;Uniqlo;858;3,4
Ergonomic mission-critical superstructure;?? ?n nhanh;3065;44,63;Tháng 9;08/08/2022;Lazada;Coca-Cola;930;3,4
Re-contextualized contextually-based array;S?n ph?m h? tr? sinh lý;188;33,07;Tháng 10;25/01/2024;Lazada;Vichy;857;1,8
Open-architected value-added concept;Kem ch?ng n?ng v?t lý;4403;363,7;Tháng 11;26/05/2022;Shopee;Dior;556;2,8
Extended impactful task-force;S?n ph?m d??ng móng;4016;436,91;Tháng 2;01/09/2023;Lazada;Althea;835;2,8
Sharable needs-based conglomeration;Ph? ki?n ?i?n tho?i;316;25,5;Tháng 3;23/11/2023;Lazada;Jojoba Oil;963;1
Ameliorated multimedia approach;Th?c ph?m s?ch;1040;193,97;Tháng 10;03/04/2022;Shopee;Cosrx;643;2,2
Robust high-level budgetary management;Máy l?c không khí;3325;405,67;Tháng 5;16/11/2022;Shopee;Nivea Men;690;4,7
Operative 6thgeneration moratorium;N??c hoa n?;3915;374,89;Tháng 1;09/03/2023;Lazada;Avène;534;4,7
Team-oriented fresh-thinking time-frame;Thi?t b? ?i?n t?;4933;157,04;Tháng 11;23/01/2024;Shopee;Neutrogena;591;4,2
User-centric empowering policy;S?n ph?m b?o v? môi tr??ng;374;256,15;Tháng 6;21/04/2024;Shopee;Smashbox;822;1,7
Reactive tangible pricing structure;Bút k? mày;4579;219,24;Tháng 10;23/01/2024;Lazada;Fanta;198;3,9
Streamlined tangible toolset;N?i th?t;99;461,93;Tháng 2;26/06/2022;Shopee;Dr. Jart+;386;1,3
Public-key holistic software;Máy làm ??p;3084;395,87;Tháng 5;04/01/2022;Shopee;Nivea;264;1,6
Re-contextualized eco-centric collaboration;Máy ?nh;4065;285,53;Tháng 10;13/03/2022;Lazada;Jojoba Oil;367;1,9
Sharable multi-state focus group;?i?n tho?i thông minh;4181;69,37;Tháng 6;07/08/2022;Lazada;Eucerin;392;1,4
Optional upward-trending capability;N??c cân b?ng;1377;148,76;Tháng 6;06/12/2021;Lazada;Zara;687;1,1
Realigned holistic utilization;?i?n t?;208;66,89;Tháng 9;16/11/2022;Lazada;Burt's Bees;164;1,7
Multi-layered fault-tolerant matrices;S?n ph?m h? tr? sinh lý;2180;59,48;Tháng 2;06/03/2024;Shopee;Nivea;199;1
Polarized upward-trending hub;Th?i trang;3383;463,17;Tháng 3;03/06/2022;Shopee;Pond's;432;3,4
Multi-tiered human-resource portal;Th?c ph?m ch?c n?ng gi?m cân;3015;126,83;Tháng 8;07/12/2023;Lazada;Etude House;637;3,8
Cross-group dynamic functionalities;Máy s?y tóc;643;280,85;Tháng 7;20/03/2024;Shopee;Tatcha;577;3,1
Synergistic transitional portal;Máy l?c không khí;3394;316,82;Tháng 4;26/05/2024;Lazada;Revlon;294;3,1
Secured attitude-oriented firmware;Gia d?ng;1770;438,56;Tháng 1;28/08/2022;Lazada;TIGI;479;1,4
Robust non-volatile parallelism;Thi?t b? v?n phòng;835;60,37;Tháng 7;27/11/2022;Shopee;Glade;586;1,1
Multi-layered full-range collaboration;Máy làm ??p;1480;435,8;Tháng 4;28/09/2022;Lazada;NARS;608;4,7
Self-enabling background circuit;S?n ph?m làm s?ch sâu;1925;259,13;Tháng 8;18/04/2024;Shopee;Yves Saint Laurent;139;2,3
Total clear-thinking help-desk;S?n ph?m ch?ng lão hóa;1581;87,23;Tháng 7;08/08/2024;Shopee;Nestle;870;4,3
Synergistic hybrid interface;Ph? ki?n ?i?n tho?i;2659;322,01;Tháng 1;25/04/2022;Lazada;Yves Saint Laurent;840;4,4
Persevering hybrid matrices;Th?c ph?m ch?c n?ng;2588;196,23;Tháng 12;08/08/2022;Shopee;Axe;2;3,5
Self-enabling executive structure;Thi?t b? v?n phòng;3195;467,81;Tháng 10;23/07/2023;Lazada;Tony Moly;675;2,9
Realigned high-level knowledgebase;S?n ph?m công ngh?;2913;291,69;Tháng 7;22/08/2023;Lazada;Aveda;608;3,7
Secured background flexibility;M?t n? d??ng da;4091;301,76;Tháng 2;17/01/2024;Shopee;Drunk Elephant;360;2,7
Team-oriented high-level task-force;Th?c ph?m;700;62,28;Tháng 4;23/04/2024;Lazada;Colgate;33;2,9
Programmable background task-force;?? gia d?ng;1499;374,15;Tháng 6;25/08/2024;Shopee;Adidas;316;2,9
Devolved uniform policy;M?t n? ng?;4005;94,02;Tháng 6;05/08/2022;Lazada;Burt's Bees;765;1,8
Synergistic modular migration;Thi?t b? th? thao;3315;163,28;Tháng 1;12/09/2023;Shopee;Glade;193;2,2
Customer-focused contextually-based workforce;Túi xách;4533;374,77;Tháng 2;25/05/2023;Shopee;Althea;437;2,6
Team-oriented discrete middleware;?? u?ng;1134;222,41;Tháng 6;10/05/2023;Lazada;Innisfree;102;4,7
Networked discrete data-warehouse;Ph? ki?n th?i trang;2037;445,23;Tháng 4;26/05/2022;Shopee;Olay;574;3,7
Cross-platform zero administration service-desk;Sách;1406;407,48;Tháng 8;28/12/2023;Shopee;Smashbox;288;3,3
Universal intangible service-desk;N??c hoa n?;3272;316,29;Tháng 3;04/06/2023;Lazada;Coca-Cola;304;4,1
Ergonomic zero administration database;M? ph?m h?u c?;2657;243,09;Tháng 5;15/08/2023;Lazada;Garnier SkinActive;566;1,7
Assimilated 4thgeneration encryption;Máy s?y tóc;961;314,66;Tháng 5;23/03/2022;Shopee;Coca-Cola;531;2
Switchable modular circuit;S?n ph?m làm ??p;1904;111,99;Tháng 11;01/08/2022;Shopee;Dove Body Wash;177;4,7
Optimized bandwidth-monitored adapter;S?n ph?m d??ng tóc;1415;205,76;Tháng 3;20/03/2022;Shopee;TRESemmé;682;2,6
Organic 4thgeneration analyzer;N??c cân b?ng;533;126,56;Tháng 4;07/07/2023;Lazada;Benefit Cosmetics;598;2,9
Public-key responsive collaboration;S?n ph?m gi?m cân;4968;22,05;Tháng 8;02/01/2024;Lazada;Apple;797;4,7
Devolved cohesive attitude;Th?c ph?m;2374;115,55;Tháng 7;02/08/2024;Shopee;Kose;499;3,7
Reverse-engineered incremental moderator;S?n ph?m làm s?ch;3549;28,82;Tháng 11;17/10/2022;Shopee;Hada Labo;914;4
Open-architected empowering neural-net;Thi?t b? v?n phòng;4854;89,31;Tháng 7;20/04/2022;Lazada;Shiseido;174;3,8
Compatible directional intranet;S?n ph?m gi?m cân;1878;486,77;Tháng 11;15/11/2022;Shopee;Hada Labo;821;4,7
Pre-emptive content-based model;S?n ph?m ch?ng gàu;3620;124,75;Tháng 10;09/09/2023;Shopee;Benton;39;2,2
Synergized foreground monitoring;N??c t?y trang;630;126,64;Tháng 10;02/02/2022;Lazada;Fenty Beauty;280;2,3
Profit-focused zero-defect neural-net;B?t ?n d?m;1920;132,84;Tháng 3;30/07/2023;Lazada;Aveda;537;1,7
Vision-oriented static encryption;Máy tính xách tay;1645;219,24;Tháng 12;16/12/2021;Shopee;Jojoba Oil;319;3,9
Decentralized mission-critical help-desk;S?a t?m;2488;399,2;Tháng 12;05/10/2022;Shopee;Yves Rocher;839;2,5
Stand-alone zero-defect focus group;Gia d?ng;50;115,01;Tháng 9;28/10/2022;Shopee;Nestle;423;4,7
Triple-buffered interactive circuit;Kem m?t;676;426,98;Tháng 4;02/02/2023;Lazada;LG;769;3,4
Front-line tangible application;Serum retinol;4655;387,31;Tháng 9;21/10/2022;Shopee;Samsung;731;3,4
Cloned didactic budgetary management;Tinh ch?t d??ng da;3376;80,94;Tháng 12;09/10/2023;Lazada;Axe;501;1,4
Realigned zero tolerance neural-net;?i?n t?;1364;452,58;Tháng 5;09/11/2021;Shopee;Garnier;457;1,5
Organic maximized Graphic Interface;S?n ph?m làm m?m da;3028;25,26;Tháng 2;09/10/2024;Lazada;Huda Beauty;520;2,4
Self-enabling asynchronous matrix;S?n ph?m làm ??p;4342;243,99;Tháng 1;03/10/2022;Lazada;Zalora;27;4,8
Secured next generation hierarchy;M? ph?m Hàn Qu?c;2803;222,68;Tháng 10;28/06/2023;Lazada;Wella;387;3,8
Function-based eco-centric initiative;?i?n tho?i thông minh;2213;241,45;Tháng 6;03/07/2023;Shopee;Estée Lauder;970;1
Reverse-engineered full-range extranet;D?u t?y trang;360;364,53;Tháng 1;30/01/2022;Shopee;Uniqlo;999;1,2
Synchronized bifurcated moratorium;?i?n t?;4203;272,99;Tháng 10;07/06/2023;Shopee;P&G;879;3,7
Cross-group bandwidth-monitored benchmark;Thi?t b? ?i?n t?;1093;443,84;Tháng 12;18/10/2022;Shopee;Olay Regenerist;115;2
Profound transitional attitude;Sách;2520;195,66;Tháng 7;27/09/2022;Lazada;Fenty Beauty;649;3,5
Fundamental regional hub;?i?n tho?i thông minh;2964;430,29;Tháng 4;24/01/2024;Lazada;Shiseido;499;3,7
Customer-focused value-added support;?? dùng nhà b?p;1758;227,57;Tháng 5;22/12/2022;Lazada;Pond's;864;3,3
De-engineered clear-thinking knowledgebase;S?n ph?m làm ??p;1105;306,19;Tháng 7;11/11/2023;Shopee;Fenty Beauty;498;3,3
Advanced system-worthy alliance;Thi?t b? v?n phòng;1335;469,67;Tháng 9;22/04/2023;Lazada;Kose;479;4,5
Fully-configurable uniform data-warehouse;?? ?n nhanh;4230;172,41;Tháng 10;05/12/2023;Lazada;Nivea Men;819;3,9
Switchable mission-critical Graphical User Interface;Thi?t b? âm thanh;4365;383,2;Tháng 2;21/09/2024;Lazada;Paula's Choice;157;3,7
Innovative 24hour service-desk;S?n ph?m làm m?m da;4928;298,37;Tháng 3;14/03/2022;Shopee;Paula's Choice;21;4,6
Persistent local infrastructure;?? dùng h?c t?p;1354;300,06;Tháng 3;30/10/2024;Shopee;Kose;462;4,2
Open-architected optimal synergy;Th?i trang;3014;177;Tháng 10;30/09/2024;Shopee;Mason Jar;435;4,7
Re-contextualized national software;S?n ph?m t?p th? d?c;3514;458,94;Tháng 8;21/07/2022;Lazada;Make Up For Ever;220;1,5
Business-focused full-range functionalities;?? b?i;2218;237,85;Tháng 6;11/07/2023;Lazada;Tatcha;116;1,5
Extended incremental solution;Thi?t b? v?n phòng;3466;57,78;Tháng 12;29/08/2024;Shopee;Fanta;389;3,2
De-engineered encompassing info-mediaries;B? s?n ph?m ch?m sóc da;4791;417,35;Tháng 4;23/11/2022;Shopee;P&G;824;4
Ergonomic local support;S?n ph?m gi?m cân;895;36,1;Tháng 5;15/09/2023;Lazada;Bioré;364;4,2
Adaptive actuating artificial intelligence;N?i th?t;142;35,68;Tháng 1;18/03/2022;Shopee;Aveeno;661;3,1
Fundamental regional solution;Máy tính xách tay;1329;237,53;Tháng 5;29/10/2024;Lazada;Pond's;872;1,3
Extended 24hour core;S?n ph?m ch?m sóc s?c kh?e;244;456,2;Tháng 11;03/10/2024;Shopee;Avène;817;3,6
Open-source zero tolerance task-force;S?n ph?m làm s?ch;939;187,33;Tháng 11;18/11/2023;Shopee;Biore;73;2,5
Team-oriented next generation challenge;Kem d??ng;70;300,99;Tháng 1;16/12/2021;Shopee;Estée Lauder;10;3
Seamless uniform service-desk;Kem d??ng;1978;11,6;Tháng 11;18/12/2023;Lazada;Etude House;827;3,3
Seamless client-server flexibility;M? ph?m Nh?t B?n;599;20,77;Tháng 12;17/09/2022;Lazada;Zalora;232;4,9
Reverse-engineered holistic open system;S?n ph?m gi?m thâm;440;273,56;Tháng 2;27/01/2022;Shopee;Fanta;250;1,7
Seamless dedicated framework;V?n phòng ph?m;3918;425,39;Tháng 8;10/04/2022;Shopee;Chanel;439;1,7
Robust radical middleware;S?n ph?m d??ng ?m;2167;288,77;Tháng 7;30/01/2023;Lazada;The Inkey List;707;2,1
Cloned uniform approach;?? handmade;1571;194,73;Tháng 3;27/11/2021;Shopee;Too Faced;561;1,6
Synchronized cohesive artificial intelligence;Th?c ph?m ch?c n?ng gi?m cân;3780;67,03;Tháng 7;04/10/2024;Lazada;Dior;713;4,3
Multi-channeled tertiary database;Gia d?ng;3332;370,4;Tháng 7;29/03/2024;Shopee;H&M;29;1,1
Team-oriented 6thgeneration strategy;Máy tính xách tay;144;37,02;Tháng 8;14/09/2024;Lazada;Smashbox;867;3,3
Networked multi-tasking function;?? dùng tr? em;673;94,07;Tháng 3;07/05/2022;Lazada;Shiseido;559;3
Realigned regional secured line;S?n ph?m tr? m?n;4918;119,83;Tháng 2;04/02/2024;Shopee;Garnier Fructis;732;2,5
Object-based coherent function;Thi?t b? âm thanh;3014;262,33;Tháng 1;03/09/2023;Lazada;Dove Purely Pampering;328;1,3
Intuitive transitional installation;Th?i trang;3159;254,5;Tháng 6;18/01/2022;Shopee;L'Occitane;806;3,9
Compatible didactic database;?? dùng nhà b?p;3951;320,69;Tháng 7;24/11/2023;Lazada;Benton;88;1,2
Business-focused cohesive initiative;Sách;2572;133,94;Tháng 11;08/09/2023;Lazada;Uniqlo;891;3,4
Advanced mission-critical structure;N?i th?t;4406;106,06;Tháng 9;11/10/2022;Shopee;O.P.I.;551;1,7
Cross-group asymmetric capacity;Th?c ph?m s?ch;2066;164,98;Tháng 9;08/10/2024;Lazada;NARS;18;4,9
Ameliorated optimal hierarchy;Mì ?n li?n;815;51,85;Tháng 6;31/08/2024;Lazada;SK-II;516;2,5
Synergized logistical neural-net;?? dùng tr? em;1971;382,46;Tháng 10;15/09/2022;Shopee;Almay;284;2,5
User-centric coherent attitude;S?n ph?m x?t khoáng;1930;90,46;Tháng 3;31/01/2024;Lazada;Adidas;45;2
Exclusive background methodology;D?u g?i;2736;450,29;Tháng 8;01/10/2023;Lazada;Huda Beauty;430;1,8
Re-engineered attitude-oriented Local Area Network;?? u?ng;60;94,35;Tháng 3;20/08/2024;Shopee;Lancôme;603;4,6
Sharable leadingedge system engine;Máy ?nh;4086;124,37;Tháng 8;21/12/2022;Lazada;SK-II;804;4,3
Up-sized 4thgeneration help-desk;N??c hoa;4828;415,83;Tháng 2;28/04/2022;Lazada;Huggies;543;2,8
Phased bottom-line secured line;Máy l?c không khí;2570;293,05;Tháng 7;25/05/2022;Lazada;Axe;57;2,9
Public-key hybrid functionalities;S?n ph?m làm ??p;666;19,54;Tháng 1;22/06/2024;Shopee;Dove Men+Care;762;1,7
Mandatory global intranet;N??c hoa nam;1816;113,87;Tháng 8;25/01/2024;Lazada;Lancôme;82;4,1
Decentralized asymmetric matrix;M? ph?m trang ?i?m;2064;393,27;Tháng 10;24/05/2024;Lazada;Wella;717;3,7
Centralized demand-driven archive;Máy s?y tóc;3175;203,82;Tháng 1;06/07/2023;Shopee;Aveda;457;2,3
Decentralized even-keeled hub;Tinh ch?t d??ng da;3720;252,15;Tháng 4;02/06/2023;Shopee;Tony Moly;640;1
Visionary motivating help-desk;S?n ph?m d??ng ?m;3913;206,72;Tháng 3;24/01/2023;Shopee;L'Oreal Paris;548;4,6
Open-architected zero-defect capacity;Thi?t b? ?i?n t?;1915;493,6;Tháng 3;02/11/2022;Lazada;Nestle;277;4,9
Integrated bi-directional standardization;Serum retinol;166;139,49;Tháng 8;02/12/2022;Shopee;Too Faced;848;4,4
Realigned composite forecast;M? ph?m trang ?i?m;2365;238,26;Tháng 5;25/06/2022;Shopee;Fa;509;3,2
Organized hybrid success;Túi xách;1805;475,63;Tháng 6;28/07/2024;Lazada;TRESemmé;293;3,7
Object-based bottom-line projection;N??c cân b?ng;3943;482,7;Tháng 1;16/01/2024;Lazada;Garnier Fructis;396;1,7
Organic directional emulation;?? dùng tr? em;2291;367,93;Tháng 8;29/02/2024;Lazada;Estée Lauder;951;1,8
Re-contextualized incremental solution;M? ph?m t? nhiên;1460;223,06;Tháng 12;14/04/2022;Shopee;Benefit Cosmetics;544;4,9
Multi-channeled leadingedge methodology;D?u x?;3260;310,01;Tháng 6;29/03/2022;Lazada;Adidas;508;3,8
Profit-focused holistic concept;N??c hoa nam;2654;212,54;Tháng 1;03/11/2021;Shopee;Burt's Bees;94;2,9
Re-contextualized disintermediate structure;Thi?t b? chi?u sáng;4527;216,19;Tháng 11;13/05/2023;Lazada;Dior;394;1,5
Public-key intermediate moderator;N??c hoa h?ng;2637;476,35;Tháng 9;15/03/2024;Shopee;Pampers;421;4
Grass-roots holistic definition;?? trang trí;328;223,37;Tháng 8;14/01/2024;Shopee;Smashbox;822;4
Extended scalable concept;S?n ph?m làm ??p;2075;408,8;Tháng 10;09/03/2023;Shopee;SK-II;401;1,3
Re-contextualized methodical core;Kem d??ng;4243;323,89;Tháng 12;11/02/2024;Lazada;Glade;708;4,8
Secured hybrid website;S?n ph?m ch?ng n?ng;2505;12,17;Tháng 6;27/11/2023;Shopee;Pampers;189;1,5
Monitored neutral ability;Serum retinol;2458;35,6;Tháng 8;16/10/2022;Lazada;Garnier Fructis;625;3,3
Re-engineered modular concept;N?i th?t;4906;253,76;Tháng 10;19/04/2022;Lazada;Revlon;403;3,1
Profit-focused motivating migration;Ph? ki?n th?i trang;772;70,78;Tháng 5;08/07/2023;Shopee;NARS;752;3,1
Versatile needs-based infrastructure;N?i th?t;3929;416,84;Tháng 6;03/05/2023;Shopee;Yves Rocher;907;1,2
Inverse tangible access;S?n ph?m d??ng móng;4851;41,01;Tháng 7;01/09/2023;Shopee;Lancôme;384;1,3
Mandatory systematic matrix;?i?n tho?i thông minh;1753;57,81;Tháng 11;30/04/2024;Lazada;Make Up For Ever;49;4,9
Sharable 24hour matrix;S?n ph?m du l?ch;2582;53,92;Tháng 3;30/06/2023;Lazada;The Body Shop Tea Tree;192;1,8
Profound 4thgeneration capability;Son môi;5;422,51;Tháng 5;12/03/2022;Lazada;TIGI;734;3,6
Cross-group secondary infrastructure;Máy s?y tóc;2123;307,57;Tháng 10;12/07/2024;Shopee;Pampers;895;1,7
User-centric composite Local Area Network;S?n ph?m làm s?ch sâu;3516;471,67;Tháng 5;18/02/2023;Shopee;Kose;737;3,8
